agent_id	claim	value	exact_command	seed	artifact_path
A2	MEASURED per-slot: un-warned slots pinned	683/1994 = 34.3%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED pinned-binding days blocked at 0.5x FLOOR (needsLess) vs 2.0x ceiling only	66 floor / 0 ceiling / 4 both, of 70	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED divergent protein@2.0+sides@0.5 slots (the 625g-chicken shape)	54/2432 = 2.2%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED missed days failing 2+ macros simultaneously	97/173 = 56.1%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	MEASURED carnivore+keto misses bound by POOL_EXHAUSTED not pinning	20/27 = 74.1%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A2	DERIVED satisfiable-only in-band incl. 7 forge-error days (brief uses 385/495=77.8%)	392/502 = 78.1%	node docs/surgery/CAMPAIGN/solver-brain/A2/A2-taxonomy.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A2/A2-report.json
A5	soft-target MIGP vs hard-constraint IP feasibility, published benchmark (810 instances, 30 USDA foods)	100% vs 48%	LITERATURE (no run) — https://arxiv.org/abs/2605.13849	n/a	A5 FINDINGS (text, harness blocked file write)
A5	nutrient constraint counts across 52 published diet-LP studies	5-37	LITERATURE (no run) — https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2018.00048/full	n/a	A5 FINDINGS (text)
A5	Maillot 2010 individual diet modeling feasibility	1171/1171 individuals feasible, 32 nutrients	LITERATURE (no run) — https://pubmed.ncbi.nlm.nih.gov/19939986/	n/a	A5 FINDINGS (text)
A5	PREDICTION for A19 greedy-vs-joint gap on days-in-band	single-digit points (ESTIMATED)	DERIVED from SCALE_BOUNDS box + brief 68.3% bound-pinned stat	n/a	A5 FINDINGS (text)
A3	MEASURED instrument check: reconstructed afterDiet pool sizes vs fleet poolCounts.afterDiet	29/29 exact, 0 mismatches	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-prove-infeasible.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-infeasibility.tsv
A3	MEASURED impossible-tier days by sub-kind (every-protein-walled / floor-vs-rate)	53 days / 30 days = 83 total	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-prove-infeasible.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-infeasibility.tsv
A3	MEASURED every-protein-walled days in band	0/53 = 0.0%	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-prove-infeasible.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-infeasibility.tsv
A3	MEASURED floor-vs-rate days in band -- tier mislabelled, NOT unsatisfiable	20/30 = 66.7%	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-prove-infeasible.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-infeasibility.tsv
A3	DERIVED structurally impossible days (SCALED upper bound < protein floor)	52 days / 16 personas (brief says 83)	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-classify-all.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-classification.json
A3	MEASURED structurally-impossible days landing in band (proof falsification check)	0/52	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-classify-all.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-classification.json
A3	DERIVED structurally impossible personas OUTSIDE the IMPOSSIBLE tier (under-inclusive check)	0 personas / 0 days	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-classify-all.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-classification.json
A3	DERIVED corrected satisfiable-only denominator	526 days (brief uses 495)	node docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.json
A3	DERIVED corrected satisfiable-only days-in-band rate	405/526 = 77.0% (brief 385/495 = 77.8%; A2 392/502 = 78.1%)	node docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.json
A3	DERIVED all-days ceiling with a perfect solver	526/578 = 91.0% (brief asserts near 88%)	node docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.json
A3	DERIVED ceiling implied by the brief OWN 83-day figure	495/578 = 85.6%, not 88% -- brief internally inconsistent	node docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.json
A3	DERIVED satisfiable-only (526 d) structural ceiling	none proven below 100%; relaxation ignores fat/carb so cannot prove feasibility	node docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.json
A3	DERIVED three-way split, days (sums to 578)	structurally-impossible 52 / pool-limited 140 / solver-limited 386	node docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.json
A3	MEASURED in-band rate by bucket	impossible 0/52=0.0%, pool-limited 83/140=59.3%, solver-limited 322/386=83.4%	node docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-final-split.json
A3	ESTIMATED p175 contested: SCALED bound clears floor by 7.9g (8.8%) yet scored 0/1 days	if impossible: 53 d, ceiling 90.8%	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A3/A3-dev.db node docs/surgery/CAMPAIGN/solver-brain/A3/A3-classify-all.mjs	qa-fleet-20260729-2032 (head 0d3eaa5, BRAIN=off)	docs/surgery/CAMPAIGN/solver-brain/A3/A3-classification.json
A12	dayTolerance 4 rules jointly satisfiable (grader box non-empty)	250/250 personas (min kcal at all macro floors = 70.4% of target mean, 74.1% max, vs 115% ceiling)	node docs/surgery/CAMPAIGN/solver-brain/A12/a12-coherence.mjs	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-summary.json
A12	macro band midpoints sum BELOW targetKcal (CARB_MIDPOINT_BUFFER_G=25)	mean +89.4 kcal (4.4% of target); median +100; non-keto ~+100; keto +6; 0/250 break the 15% kcal rule	node docs/surgery/CAMPAIGN/solver-brain/A12/a12-coherence.mjs	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-summary.json
A12	personas where max kcal inside all 3 DISPLAYED bands < targetKcal	39/250 (15.6%), worst -19 kcal	node docs/surgery/CAMPAIGN/solver-brain/A12/a12-coherence.mjs	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-per-persona.json
A12	UI/grader divergence: carbs graded pass but rendered amber	mean +50 g (200 kcal) above carbHi	node docs/surgery/CAMPAIGN/solver-brain/A12/a12-coherence.mjs	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-summary.json
A12	UI/grader divergence: fat graded FAIL but UI draws fat as floor with no ceiling	grader fails above mean 77 g = 14.4 g above displayed fatHi; UI never warns	read TodayTab.jsx:137 + Parts.jsx:123,151 + mealSolver.js:250	n/a (code)	docs/surgery/CAMPAIGN/solver-brain/A12/a12-summary.json
A12	UI/grader divergence: protein passes below displayed floor tick	mean 19.3 g below proteinLo still graded OK; fat 16.4 g below displayed min still OK	node docs/surgery/CAMPAIGN/solver-brain/A12/a12-coherence.mjs	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-summary.json
A12	UI/grader divergence: kcal ring flips amber at 100% vs grader 115%	mean 334 kcal window where Today says "Over by N - swap a slot" and Plan says inTolerance	read TodayTab.jsx:774,860 + mealSolver.js:244	n/a (code)	docs/surgery/CAMPAIGN/solver-brain/A12/a12-summary.json
A12	floor-clamp coherence (targetKcal clamped BEFORE computeMacros)	CLEAN - 60/250 personas floored, all bands derived from clamped target	read planContext.js:227 + bmrEngine.js:235	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-per-persona.json
A12	carb-floored zero-carb-band pathology reachable in code but not in population	9/250 carbFloored, all carbMid 49-50; carbMid=0 never occurs	node docs/surgery/CAMPAIGN/solver-brain/A12/a12-coherence.mjs	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-per-persona.json
A12	coherence contribution to the 70.1% gap	0.0 points - grader box feasible 250/250; UI does not feed the metric	derived from rows above	personas.jsonl@qa-fleet-20260729-2032	docs/surgery/CAMPAIGN/solver-brain/A12/a12-summary.json
A11	raw Recipe rows in dev.db (instrument check)	910	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-style-density.csv
A11	raw Food rows in dev.db	14151	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-style-density.csv
A11	satisfiable personas that are POOL-LIMITED (hull test)	5 of 218 (2.3%)	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-persona-corners.csv
A11	all-250 personas POOL-LIMITED	23 of 250	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-persona-corners.csv
A11	of those 23, vegan IMPOSSIBLE-tier	18	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-persona-corners.csv
A11	vegetarian satisfiable personas POOL-LIMITED (axis=protein)	4 of 21	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-persona-corners.csv
A11	keto satisfiable personas POOL-LIMITED	0 of 16	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-satisfiable-axis-density.csv
A11	vegan satisfiable personas POOL-LIMITED	0 of 11	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-satisfiable-axis-density.csv
A11	pure-style pool size: none/mediterranean/halal/kosher/vegetarian/vegan/paleo/keto/carnivore	910/814/758/680/401/169/167/53/3 of 910	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-style-density.csv
A11	fat g per 100kcal, none pool: min/q1/med/q3/max	0.03/2.63/4.20/5.75/10.96	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-survivors-none.csv
A11	fat g per 100kcal, vegan pool: min/q1/med/q3/max	0.03/2.26/3.81/4.59/10.96	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-survivors-vegan.csv
A11	fat g per 100kcal, keto pool: min/q1/med/q3/max	0.43/5.89/6.87/7.98/10.96	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-survivors-keto.csv
A11	fat g per 100kcal, vegetarian pool: min/q1/med/q3/max	0.03/2.54/4.02/5.56/10.96	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-survivors-vegetarian.csv
A11	protein g per 100kcal median by style (none/vegan/vegetarian/keto/paleo/kosher)	5.39/5.08/3.25/7.65/5.86/5.29	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-style-density.csv
A11	TARGET protein g per 100kcal across 218 satisfiable personas min/med/max	4.62/8.16/12.95	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-persona-corners.csv
A11	TARGET fat g per 100kcal across 218 satisfiable personas min/med/max	1.43/2.60/8.63	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-persona-corners.csv
A11	median protein g per 100kcal of the 232 recipes vegetarian admits over vegan	2.42	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-survivors-vegetarian.csv
A11	mean % of survivors with all 4 macros in band, satisfiable (vegetarian/paleo/vegan/none/kosher/halal/keto)	9.56/10.74/12.82/16.87/18.80/23.84/29.04	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-satisfiable-axis-density.csv
A11	keto survivors fat-OK share (highest of any style)	92.70%	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-satisfiable-axis-density.csv
A11	mean survivors per satisfiable persona (vegetarian/vegan/keto/paleo/kosher/none)	237/130/41/131/461/577	DATABASE_URL=file:C:/Users/<account>/Desktop/cut-protocol/docs/surgery/CAMPAIGN/solver-brain/A11/dev.db node docs/surgery/CAMPAIGN/solver-brain/A11/A11-density-run.cjs	personas.mjs seed 1387006667 (250 personas); analysis deterministic, no RNG	docs/surgery/CAMPAIGN/solver-brain/A11/A11-satisfiable-axis-density.csv
A7	Food rows surviving vegan+soy+gluten+peanut+treenut+sesame+legumes (exclusionGate.isExcluded)	4634 of 14151	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-gate-probe.cjs	n/a-deterministic-query	docs/surgery/CAMPAIGN/solver-brain/A7/a7-gate-probe.cjs
A7	Recipes whose every ingredient survives the killer stack	29 of 910	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-survivors-v2.cjs	n/a-deterministic-query	docs/surgery/CAMPAIGN/solver-brain/A7/a7-survivors-v2.cjs
A7	Best in-library vegan bulk staple protein density (pumpkin seeds/pepitas 29.9g/515kcal)	5.81 g protein per 100 kcal	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-survivors-v2.cjs	n/a-deterministic-query	docs/surgery/CAMPAIGN/solver-brain/A7/a7-survivors-v2.cjs
A7	Required protein density across 5 representative impossible-tier personas (bmrEngine computeMacros, 0.85x band midpoint)	7.98-8.63 g protein per 100 kcal	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-arithmetic-v2.cjs	n/a-deterministic-engine	docs/surgery/CAMPAIGN/solver-brain/A7/a7-arithmetic-v2.cjs
A7	Whole-food shortfall vs protein floor (best staple vs required)	27-33 percent short	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-arithmetic-v2.cjs	n/a-deterministic-engine	docs/surgery/CAMPAIGN/solver-brain/A7/a7-arithmetic-v2.cjs
A7	Fat overshoot if day built from densest surviving staple (pepitas) vs fat band 51-60g	158 g fat (2.6x)	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-arithmetic-v2.cjs	n/a-deterministic-engine	docs/surgery/CAMPAIGN/solver-brain/A7/a7-arithmetic-v2.cjs
A7	Library rows for rice/potato/hemp/sunflower protein, nutritional yeast, torula, chlorella, pumpkin seed protein	0 rows each	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-concentrates.cjs	n/a-deterministic-query	docs/surgery/CAMPAIGN/solver-brain/A7/a7-concentrates.cjs
A7	Nutritional yeast protein density (external, Wikipedia citing USDA FDC 1946780)	13.3 g protein per 100 kcal	WebFetch https://en.wikipedia.org/wiki/Nutritional_yeast	n/a-external-citation	FINDINGS-in-transcript
A7	Dietary-style LEAK: exclusionGate.isExcluded returns false for vegan on Squirrel/Groundhog/Armadillo/Wild pig/Heart/Owl/Sea cucumber/Ceviche/Isopure whey	latent leak, 0 realized in 910-recipe corpus	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-gate-probe.cjs	n/a-deterministic-query	docs/surgery/CAMPAIGN/solver-brain/A7/a7-gate-probe.cjs
A7	Harness self-error: styleExcludedByMetadata (metadata arm only) vs real union gate	6772 vs 4634 survivors (46 pct swing)	node docs/surgery/CAMPAIGN/solver-brain/A7/a7-survivors.cjs	n/a-deterministic-query	docs/surgery/CAMPAIGN/solver-brain/A7/a7-survivors.cjs
A8	perfect refusal of impossible tier + perfect planning of rest scores same as mediocre solver	495/578 = 85.6%	DERIVED arithmetic on brief figures; no run	n-a-analytic	A8/FINDINGS.md
A10	solveGeneral product call sites (k!=2 path executed anywhere)	0	grep require optimizer.js across backend/src	n/a	A10/FINDINGS-inline
A10	recipes where solve2 degenerate branch diverges from scaleRecipe (fixed kcal>0 AND no scalable protein role)	138 of 910 (15.2%)	node docs/surgery/CAMPAIGN/solver-brain/A10/a10-parity-hole.mjs	none-deterministic	A10/a10-parity-hole.mjs
A10	recipes with fixed-ingredient kcal>0 (golden test precondition fails)	707 of 910 (77.7%)	node docs/surgery/CAMPAIGN/solver-brain/A10/a10-parity-hole.mjs	none-deterministic	A10/a10-parity-hole.mjs
A10	scalable RecipeIngredient rows carrying non-null role	4358 of 5664 (76.9%)	node docs/surgery/CAMPAIGN/solver-brain/A10/a10-role-coverage-v2.mjs	none-deterministic	A10/a10-role-coverage-v2.mjs
